model,dim,epoch,loss
sgns,50,1,3.2340052541020228
sgns,50,2,2.474727187726113
sgns,50,3,2.2200193844669625
glove,50,1,0.0308923251983624
glove,50,2,0.0234256895557083
glove,50,3,0.01831238561265879
glove,50,4,0.015434808841055796
glove,50,5,0.014421101363337583
glove,50,6,0.013793963375982168
glove,50,7,0.013341020510152284
glove,50,8,0.012992612643045616
glove,50,9,0.01271338684937748
glove,50,10,0.01248212807675965
sgns,100,1,3.2423687537061836
sgns,100,2,2.474007430530447
sgns,100,3,2.219848981942587
glove,100,1,0.03115713659171081
glove,100,2,0.02371546859819168
glove,100,3,0.01875607838226476
glove,100,4,0.015544457959553297
glove,100,5,0.0144744639299433
glove,100,6,0.013829245801868804
glove,100,7,0.013366052899076874
glove,100,8,0.013007260067675728
glove,100,9,0.012719176769095536
glove,100,10,0.01247394175533962
sgns,200,1,3.253056882824067
sgns,200,2,2.4797792823894658
sgns,200,3,2.2224520435578867
glove,200,1,0.03135650362888767
glove,200,2,0.023909761727385178
glove,200,3,0.019419303019854728
glove,200,4,0.015745895800306962
glove,200,5,0.014596101075794387
glove,200,6,0.013912753535357609
glove,200,7,0.01343638732489669
glove,200,8,0.013076105697889768
glove,200,9,0.012779538451343617
glove,200,10,0.012539543356044689
